delta	delta_high	alpha	Agent-based Pp/Pf	Solver Pp/Pf	Agent-based Pp/Ws	Solver Pp/Ws	Agent-based Pizzas	Solver Pizzas
0.1	0.04	3.5	25.382	115.399	13.994	108.035	3.525	58.528	3.552	66.026	0.005201
0.1	0.04	4	23.544	114.42	15.941	109.582	3.536	59.671	3.554	64.67	0.005176
0.1	0.04	4.5	21.678	113.368	17.873	110.974	3.544	60.881	3.553	63.387	0.005052
0.1	0.04	5	19.786	112.222	19.786	112.222	3.55	62.1	3.55	62.101	0.005112
0.1	0.04	5.5	17.873	110.961	21.677	113.368	3.553	63.359	3.544	60.849	0.005569
0.1	0.04	6	15.942	109.58	23.544	114.427	3.554	64.689	3.536	59.687	0.005215
0.1	0.04	6.5	13.994	108.026	25.381	115.403	3.552	66.028	3.525	58.522	0.005388
0.1	0.04	7	12.034	106.258	27.186	116.317	3.548	67.42	3.512	57.421	0.005544
0.1	0.04	7.5	10.062	104.208	28.951	117.168	3.541	68.835	3.496	56.36	0.005374
0.1	0.04	8	8.081	101.75	30.673	117.977	3.53	70.335	3.478	55.381	0.005411
0.1	0.04	8.5	6.091	98.656	32.34	118.737	3.516	71.87	3.455	54.449	0.005751
0.1	0.04	9	4.091	94.372	33.94	119.46	3.498	73.47	3.429	53.634	0.005855
0.1	0.05	1	34.007	119.231	4.1	94.196	3.468	63.58	3.468	63.586	0.006548
0.1	0.05	1.5	32.404	118.503	6.104	98.419	3.49	63.148	3.49	63.145	0.006225
0.1	0.05	2	30.735	117.743	8.097	101.513	3.508	62.834	3.508	62.833	0.005573
0.1	0.05	2.5	29.011	116.933	10.083	103.964	3.523	62.551	3.523	62.546	0.005894
0.1	0.05	3	27.243	116.075	12.059	106.028	3.535	62.364	3.535	62.36	0.005130
0.1	0.05	3.5	25.435	115.161	14.024	107.789	3.543	62.2	3.543	62.198	0.005222
0.1	0.05	4	23.594	114.184	15.976	109.341	3.55	62.098	3.55	62.107	0.005109
